Phase,Activity / Task,Trade,Workers,Priority,Site Zone,Reno Note,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22
5 · Interior,Kitchen fit-out – new floor finish,Flooring,2,HIGH,Kitchen,Achieve 45min fire + STC 50 rating,,,,,,,,,,,,,,,█,,,,,,,
5 · Interior,Bathroom tile + fixtures,Tiler + Plumber,3,MED,Bathroom center,W/D connection finalise,,,,,,,,,,,,,,,█,█,,,,,,
5 · Interior,Interior doors + hardware,Carpenter,2,MED,All rooms,Match existing door profiles,,,,,,,,,,,,,,,,█,,,,,,
5 · Interior,Cabinetry – kitchen,Cabinet maker,2,MED,Kitchen,After new floor assembly complete,,,,,,,,,,,,,,,,█,,,,,,
5 · Interior,Paint – all interior,Painter,3,MED,All rooms,After drywall tape + mud dry,,,,,,,,,,,,,,,,█,█,,,,,
5 · Interior,Stair finishing – central stair,Carpenter,2,MED,Central stair,Existing stair – refinish treads,,,,,,,,,,,,,,,,,█,,,,,
5 · Interior,Living room + dining fit-out,GC / Carpenter,2,MED,East zones,After new window + beam complete,,,,,,,,,,,,,,,,,█,,,,,
5 · Interior,Electrical trim-out + panel,Electrician,2,HIGH,All rooms,Panel energise after inspection,,,,,,,,,,,,,,,,,█,,,,,
5 · Interior,HVAC trim-out + commission,HVAC,2,MED,All rooms,Test all zones,,,,,,,,,,,,,,,,,,█,,,,
5 · Interior,Parking level finish – concrete seal,Concrete,2,LOW,West parking,Seal parking deck surface,,,,,,,,,,,,,,,,,,█,,,,
6 · Close-Out,Final clean – full building,GC,3,HIGH,All,All trades complete first,,,,,,,,,,,,,,,,,,,█,,,
6 · Close-Out,Fire rating inspections,Inspector / GC,2,CRIT,Garage + parking,"1½ hr ceiling, gas-proof, STC 50",,,,,,,,,,,,,,,,,,,█,,,
6 · Close-Out,Structural engineer final sign-off,SE / GC,1,CRIT,All structural,All beams/posts per design confirmed,,,,,,,,,,,,,,,,,,,,█,,
6 · Close-Out,Punchlist + defects,GC + all trades,4,HIGH,All,Owner walkthrough,,,,,,,,,,,,,,,,,,,,█,█,
6 · Close-Out,Certificate of Occupancy,Inspector / GC,1,CRIT,Full building,Final CO – all systems commissioned,,,,,,,,,,,,,,,,,,,,,,█
