Phase,Activity / Task,Trade,Workers,Priority,Site Zone,Special Note,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28
6 · MEP Rough,MEP inspections,Inspector,1,CRIT,All,All rough-in signed off before insulation,,,,,,,,,,,,,,,,,,,,,█,,,,,,,
7 · Interior,Insulation – walls + attic,Insulator,4,HIGH,All interior + attic,"R27 walls (2×6), attic insulate per plan",,,,,,,,,,,,,,,,,,,,,,█,,,,,,
7 · Interior,Drywall – all rooms,Drywaller,6,HIGH,All interior,Two-story voids require special scaffold,,,,,,,,,,,,,,,,,,,,,,█,█,,,,,
7 · Interior,Coffered ceiling – Great Room,Specialty carpenter,4,HIGH,Great Room,Two-story coffered – high scaffold required,,,,,,,,,,,,,,,,,,,,,,,█,█,,,,
7 · Interior,Tray ceiling – Master Bedroom,Carpenter,3,HIGH,Master Bedroom,Frame tight per plan note,,,,,,,,,,,,,,,,,,,,,,,█,,,,,
7 · Interior,Rotunda ceiling – Grand Entry,Specialty carpenter,3,CRIT,Entry Foyer,Two-story special ceiling + chandelier rough,,,,,,,,,,,,,,,,,,,,,,,█,█,,,,
7 · Interior,Interior plaster – feature walls,Plasterer,4,MED,Entry + Great Rm,Mediterranean interior plaster accents,,,,,,,,,,,,,,,,,,,,,,,,█,,,,
7 · Interior,Premium stone tile – entry+great+kit,Tile setter,5,HIGH,Entry+Great+Kitchen,300 SF Premium stone floor tile per spec,,,,,,,,,,,,,,,,,,,,,,,,█,█,,,
7 · Interior,Eramosa tile – master bath,Tile setter,3,HIGH,Master Bath,300 SF Eramosa + mosaic + raised pedestal,,,,,,,,,,,,,,,,,,,,,,,,█,█,,,
7 · Interior,Eramosa tile – main bath,Tile setter,2,MED,Main Bathroom,Eramosa tile per spec,,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Carpet – Master Bed + Closet,Flooring,2,MED,Master Bed + Closet,300 SF carpet. Install after tile complete,,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Cabinetry – kitchen + pantry,Cabinet maker,4,HIGH,Kitchen + Pantry,Counter height per builder. Pantry shelves,,,,,,,,,,,,,,,,,,,,,,,,█,█,,,
7 · Interior,Kitchen island installation,Cabinet maker,2,MED,Kitchen,"Island per plan, counter per builder spec",,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Raised dog ear cabinets – dining,Cabinet maker,2,MED,Dining Nook,Raised dog ear style – Med. design,,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Master bath – wet bar + storage,Carpenter / Plumber,3,MED,Master Bath,"Under-basin per builder, mosaic detail",,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Master bath floor – mosaic,Tile setter,2,HIGH,Master Bath floor,300 SF with mosaic area interior only to tile,,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Laundry – cabinets + W/D,Carpenter,2,LOW,Laundry NW,"W/D, sink, shelves",,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Interior doors + hardware,Carpenter,3,MED,All rooms,Mediterranean style doors + hardware,,,,,,,,,,,,,,,,,,,,,,,,,█,,,
7 · Interior,Grand stair – treads + rail,Carpenter,3,HIGH,Grand Foyer,"6'×10' 1/4"" radius – alder top treads",,,,,,,,,,,,,,,,,,,,,,,,,█,█,,
7 · Interior,Plumbing trim-out,Plumber,3,MED,All baths + kit,"2 heads master shower, fixtures all baths",,,,,,,,,,,,,,,,,,,,,,,,,,█,,
7 · Interior,Electrical trim-out + chandelier,Electrician,3,HIGH,All rooms + foyer,Chandelier in rotunda – high scaffold req.,,,,,,,,,,,,,,,,,,,,,,,,,,█,,
7 · Interior,HVAC trim-out + commission,HVAC,2,MED,All rooms,Test all zones inc. attic,,,,,,,,,,,,,,,,,,,,,,,,,,█,,
7 · Interior,Paint – all interior,Painter,5,HIGH,All rooms,Two-story rooms need lift/scaffold,,,,,,,,,,,,,,,,,,,,,,,,,,█,█,
7 · Interior,Study fit-out (opt. bedroom),Carpenter,2,LOW,Study S-Center,"Sliding door, opt. closet rough-in if bedrm",,,,,,,,,,,,,,,,,,,,,,,,,,,█,
8 · Close-Out,Garage slab seal + apron,Concrete,2,MED,Both garages,938 SF garage slab final seal,,,,,,,,,,,,,,,,,,,,,,,,,,,█,
8 · Close-Out,Landscaping + front drive,Landscaper,4,LOW,All exterior,"Mediterranean landscape, drive approach",,,,,,,,,,,,,,,,,,,,,,,,,,,█,
8 · Close-Out,Final clean,GC,4,HIGH,Full building,All trades complete first,,,,,,,,,,,,,,,,,,,,,,,,,,,█,
8 · Close-Out,Punchlist + defects,GC + all trades,5,HIGH,All,Owner walkthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,█
8 · Close-Out,Final inspections,Inspector,2,CRIT,Full building,All systems commissioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,█
8 · Close-Out,Certificate of Occupancy,Inspector / GC,1,CRIT,Full building,CO before handover,,,,,,,,,,,,,,,,,,,,,,,,,,,,█
